Sr. No,RERA ID,Developer Name,Project Name,Location,Town,Tie-up status,Create Date,Status
936,"P52100004877, P52100018407,P52100027723",Classic Promoters And Builders Pvt. Ltd,Classic Solitaire World,Bibwewadi,Pune South,No,17/10/2019,Inactive
937,"P52100013288, P52100002423, P52100004880 (OC Received)",Nirman Developers,Nirman Ajinkyatara,Ambegaon BK,Pune South,No,17/10/2019,Active
938,P52100022453,Goel Ganga Developments ,Ganga Utopia (E Building),Bavdhan,Pune West,No,18/10/2019,Sold Out
939,"P52100022486, P52100031354",Kumar Properties,Kumar Pratham,Chikhali,Pimpri Chinchwad,No,18/10/2019,Active
940,P52100022313,Haardhik Impulse Developers LLp,Haardhik Impulse Heights,Moshi,Pimpri Chinchwad,No,18/10/2019,Active
941,"P52100001439,P52100002039, P52100001668 (OC Received)","Goel Ganga Developments, Gagan Developers, A Lohia Group",Ganga Ishanya,Bibwewadi,Pune South,No,18/10/2019,Sold Out
942,P52100013402,Gangotree Greenbuild,Gangotree Suhrud,Erandwane,Pune Center,No,18/10/2019,Sold Out
943,P52100021945,Paranjpe Schemes,Paranjpe Orion,Hinjawadi,Pune West,No,18/10/2019,Active
944,OC Received,Choice Constructions Company,Kamalprabha,Kondhwa Budruk,Pune South,No,21/10/2019,Sold Out
945,OC Received,Sankalp Constructions Group,Sankalp Sugam,Ambegaon BK,Pune South,No,21/10/2019,Sold Out
946,P52100013740,Rajyog Associates,Rajyog Balwant Heights,Ambegaon BK,Pune South,No,22/10/2019,Sold Out
947,"P52100012315, P52100018973",Sharada Group,Sharada Myria,Dhayari,Pune South,No,22/10/2019,Inactive
948,"P52100006918 ,P52100033468(OC Received) ",Nirman developers,Nirman Viva Phase 3,Ambegaon BK,Pune South,No,22/10/2019,Active
949,P52100008282 (OC Received),Gurukrupa Developers, Primerose,Ambegaon BK,Pune South,No,22/10/2019,Inactive
950,P52100013746,AM Chordiya Ventures ,AM Chordiya Arihant Galaxy,Kondhwa Budruk,Pune South,No,22/10/2019,Sold Out
951,P52100013596 (OC Received),Shivdatta Developers ,Shivdatta Sai Nisarga,Katraj,Pune South,No,22/10/2019,Sold Out
952,P52100000821,JRS Associates,JRS Atmosphere,Ambegaon BK,Pune South,No,23/10/2019,Sold Out
953,P52100003465(OC Reeceived),Sudhir Mandke Group,Mandke Armaan,Viman Nagar,Pune East,No,23/10/2019,Sold Out
954,P52100016204,Panchratna Associates ,Panchratna Hills,Katraj,Pune South,No,23/10/2019,Sold Out
955,"P52100000013(OC Reeceived),P52100021179(OC Reeceived),P52100030648",Naiknavare Developments,Naiknavare Neelaya,Talegaon Dabhade,Pimpri Chinchwad,No,23/10/2019,Active
956,P52100017943,Gokhale Constructions,Gokhale 90 Madhukunj,Range Hills,Pune Center,No,24/10/2019,Sold Out
957,P52100003041 (OC Received),Viraj Enterprises &  Developers,Viraj Bahule Township,Fursungi,Pune South,No,24/10/2019,Sold Out
958,"P52100003097,P52100002178 (OC Received)",Altrack Group ,Altrack Zig3,Ambegaon BK,Pune South,No,24/10/2019,Sold Out
959,P52100009114 (OC Received),Abil Group,ABIL Castel Royale Excellente,Range Hills,Pune Center,No,24/10/2019,Sold Out
960,"P52100016181,P52100019294,,P52100005287 (OC Received)",Trimurti Sainath,Trimuti Sainath Panache,Katraj,Pune South,No,24/10/2019,Sold Out
961,P52100014132 (OC Received),Sai Sankalp Developers ,Sai Sankalp Nandanvan Colina,Ambegaon BK,Pune South,No,24/10/2019,Sold Out
962,P52100001538,Dreams Enterprises,Dreams Solace,Hadapsar,Pune East,No,25/10/2019,Sold Out
963,P52100006303,Dream Home Builders,Dream Home Panna,Hadapsar,Pune East,No,25/10/2019,Sold Out
964,P52100012632,Yashwant Construction Pvt.Ltd,Yashwant Tower,Kondhwa Budruk,Pune South,No,29/10/2019,Sold Out
965,"P52100021752, P52100021544,P52100021543",Xrbia Developers Limited,Xrbia SingaPune,Charholi Budruk,Pimpri Chinchwad,No,29/10/2019,Inactive
966,P52100003159 (OC Received),Axis Lifespaces LLP,Axis Vertiga,Mohammed Wadi,Pune South,No,29/10/2019,Active
967,P52100021727,"Yashada Realty Group, Yashasvi Developers ",Yashada Splendid Lake View,Pashan,Pune West,No,29/10/2019,Sold Out
968,P52100019989,"Sai Anand Builders & Developers, Kiaan Constructions ",Sai kalash,Kondhwa Budruk,Pune South,No,30/10/2019,Sold Out
969,P52100013979(OC Received),Navkaar Associates ,Navkaar Tanishq Casita,Ambegaon BK,Pune South,No,30/10/2019,Sold Out
970,OC Received,Shri Swami Samarth Properties,Shri Swami Landmark ,Narhe,Pune South,No,30/10/2019,Sold Out
971,P52100016688 (OC Received),"Grafikon Realty, Trinetra Enterprise ",Grafikon Collina Casa,Kondhwa,Pune South,No,30/10/2019,Sold Out
972,P52100003715,Solitaire World,Solitaire Mudra,Bibwewadi,Pune South,No,30/10/2019,Sold Out
973,P52100009000(OC Received),Abil Group,Abil Avaanti Residences,Shukrawar Peth,Pune Center,No,30/10/2019,Active
974,P52100012377(OC Received),Shree Siddhi Developers,Shree Siddhi Rahi Complex,Narhe,Pune South,No,31/10/2019,Sold Out
975,P52100008347(OC Received),Prakash Ventures,Prakash Greens,Talegaon Dabhade,Pimpri Chinchwad,No,31/10/2019,Sold Out
976,"P52100002348,P52100003209, P52100002518, P52100002090",Naiknavare Developers,Kutumb By Naiknavare (Eagles Nest Township),Vadgaon,Pimpri Chinchwad,No,31/10/2019,Active
977,P52100003367,Akshay group,Akshay Floria,Anand Nagar,Pune South,No,1/11/2019,Sold Out
978,P52100003587,Sudhir Mandke Group,Mandke Advantage Homes,Kondhwa,Pune South,No,1/11/2019,Sold Out
979,P52100021501,"Omkar Constructions , The Ganraj Construction",Omkar Aamrai Lake,Ambegaon BK,Pune South,No,1/11/2019,Sold Out
980,P52100016913,Varad Shelters Pvt.Ltd,Varad Lake City,Ambegaon BK,Pune South,No,1/11/2019,Inactive
981,"P52100006776, P52100006651, P52100014858","Yuvraj Dhamale Corp, Om Buildcon",Yuvraj Dhamale Shankeshwaram Rajgruhi Plaza,Kondhwa Budruk,Pune South,No,1/11/2019,Sold Out
982,P52100017777,Xrbia Developers Limited,Millennium Park (Xrbia Market Yard ( Ph 1))    ,Kondhwa,Pune South,No,4/11/2019,Active
983,"P52100016619,P52100016677,P52100000249,P52100000171,P52100000210,P52100000281,P52100000217,P52100000416 ",Mahindra Lifespaces,Mahindra Antheia,Pimpri,Pimpri Chinchwad,No,4/11/2019,Sold Out
984,"P52100001409, P52100001487",Xrbia Developers Limited,Xrbia Ambi,Talegaon Dabhade,Pimpri Chinchwad,No,4/11/2019,Inactive
985,OC Received,Paras Construction ,Paras Yogeshwari Park,Narhe,Pune South,No,4/11/2019,Sold Out
986,"P52100018125, P52100017998,  P52100013900, P52100000990(OC Received)",Shree Venkatesh Buildcon ,Venkatesh Joynest,Loni Kalbhor,Pune East,No,4/11/2019,Sold Out
987,P52100018845,Yash promoters and builders,Yash Florencia,Kondhwa,Pune South,No,4/11/2019,Active
988,P52100012552,Mansi Builders And Developers,Mansi Maniratna Complex,Parvati,Pune South,No,5/11/2019,Active
989,P52100013966,Om Aavadhut Creation,Om Aavadhut Datta Digambar,Narhe,Pune South,No,5/11/2019,Sold Out
990,P52100020746,Meridian Associates,Meridian Crown,Loni Kalbhor,Pune East,No,5/11/2019,Sold Out
991,OC Received,Yash Promoters & Builders,Yash Platinum,Dhayari,Pune South,No,6/11/2019,Sold Out
992,P52100010476 (OC Received),Nahar Properties,Nahar Yash Ganga Residency,Dhayari,Pune South,No,6/11/2019,Sold Out
993,P52100020385,Trindra Enterprise And Grafikon Realty ,Grafikon Opulence ,Gultekdi,Pune Center,No,6/11/2019,Sold Out
994,P52100016751,Royal Group,Royal Yogville,Dhayari,Pune South,No,6/11/2019,Sold Out
995,"P52100001182,P52100001757, P52100002795, P52100024206",Mantra properties,Mantra 7 Hills,Khadakwasla,Pune South,No,6/11/2019,Sold Out
996,P52100015918,Mittal Brothers,Mittal Sky High Towers,Hinjawadi,Pune West,No,6/11/2019,Sold Out
997,"P52100003065, P52100003059",Xrbia Developers Limited,Xrbia Eiffel City Chakan ,Chakan,Pimpri Chinchwad,No,6/11/2019,Inactive
998,"P52100017133, P52100020721 ,P52100020797, P52100023609,P52100025590, P52100030357, P52100030355,P52100046347",Majestique Landmarks,Majestique Signature Towers,Baner,Pune West,No,6/11/2019,Active
999,P52100016061,Prakash Construction,Prakash Nilay,Bhosari,Pimpri Chinchwad,No,8/11/2019,Sold Out
1000,P52100019470,Prakash Construction ,Prakash Gateway ,Moshi,Pimpri Chinchwad,No,8/11/2019,Sold Out
1001,P52100021468,IJK Construction ,IJK Jayant Residency,Hadapsar,Pune East,No,8/11/2019,Sold Out
1002,P52100021976,Kamthe Builders,Kamthe Laxmi Park,Fursungi,Pune South,No,11/11/2019,Active
1003,P52100019530,Royal Builders ,Royal Sublime,Kondhwa,Pune South,No,11/11/2019,Active
1004,OC Received,VTP Realty,VTP Urban Space ,Mohammed Wadi,Pune South,No,11/11/2019,Sold Out
1005,OC Received,Suyog Group,Suyog Crystal,Kondhwa,Pune South,No,13/11/2019,Sold Out
1006,P52100022539,Badhekar Developers,Badhekar Ramkrupa,Kothrud,Pune Center,No,13/11/2019,Active
1007,P52100021483(OC Received),Nanded City Development & Construction Co Ltd,Nanded Kalashree,Nanded,Pune South,No,13/11/2019,Sold Out
1008,P52100021465(OC Received),Nanded City Development & Construction co.ltd,Nanded Bageshree,Nanded,Pune South,No,13/11/2019,Sold Out
1009,P52100018775,Kumar Properties ,Kumar Siddhachal,Gultekdi,Pune Center,No,13/11/2019,Active
1010,P52100016536,"Ravinanda Landmarks, Kuober Properties, Chavan Group",Ravinanda Aamrai,Dhayari,Pune South,No,14/11/2019,Sold Out
1011,"P52100003214, P52100003427,P52100028630",Paranjpe Schemes,Paranjape Cityscapes,Dattawadi,Pune Center,No,14/11/2019,Active
1012,P52100014650,Tejas Pooja Associates,Tejas Pooja Poorva Shrushti,Nanded,Pune South,No,14/11/2019,Sold Out
1013,"P52100022731,P52100027651,P52100033173",Majestique Landmarks,Majestique Mrugavarsha ,Dhayari,Pune South,No,14/11/2019,Active
1014,P52100021279,Kohinoor Group,Kohinoor Coral,Hinjawadi,Pune West,No,15/11/2019,Sold Out
1015,OC Received,"Nobles Group, Golden Palm Infrastructures",Palm One,Kondhwa Budruk,Pune South,No,15/11/2019,Sold Out
1016,P52100017231,"RM Group,Hamy Group",Hill Town,Kondhwa Budruk,Pune South,No,15/11/2019,Inactive
1017,P52100013442,Tushar Builders & Bhargav Kudale Patil Construction & Dhankawade Group,Tushar Monte Rosa,Anand Nagar,Pune South,No,15/11/2019,Sold Out
1018,P52100018493,Dhankawade Group, Aadrika,Vadgaon Budruk,Pune South,No,15/11/2019,Inactive
1019,P52100018700,"Kanchan Developers, SVG Builders LLP,  Kunal Housing ",Kanchan Royal Exotica,Kondhwa,Pune South,No,18/11/2019,Sold Out
1020,P52100011180 (OC Recieved),Monica Construction & Builders,Monica Corner,Handewadi,Pune South,No,18/11/2019,Sold Out
1021,P52100001412,Xrbia Developers Limited,Xrbia Abode,Jambhul,Pimpri Chinchwad,No,19/11/2019,Sold Out
1022,P52100017963,Riswadkar Bakshi Associate ,Riswadkar Shivai 1,Sadashiv Peth,Pune Center,No,19/11/2019,Sold Out
1023,"P52100016481, P52100020649",Urbane Properties ,Homedale,Khadakwasla,Pune South,No,19/11/2019,Inactive
1024,P52100009187,Shivsai Properties Pvt Ltd,Shivai Shree Swami Anant Srushti,Kirkatwadi,Pune South,No,19/11/2019,Sold Out
1025,P52100013310 (OC Recieved),Balaji Developers,Balaji Vishwa,Narhe,Pune South,No,19/11/2019,Sold Out
1026,P52100020920,Krishna Associates,Krishna Smruti Garden,Punawale,Pune West,No,19/11/2019,Sold Out
1027,P52100013299,DS Dhone Builders,Green Hill,Katraj,Pune South,No,20/11/2019,Inactive
1028,P52100026405,Paranjape Schemes,Paranjape Madhukosh,Nanded,Pune South,No,20/11/2019,Sold Out
1029,P52100022474,Sukhwani Associates ,Sukhwani Hermosa Casa,Mundhwa,Pune East,No,20/11/2019,Active
1030,P52100014555,Urban Developers,Urban Park,Kirkatwadi,Pune South,No,20/11/2019,Sold Out
1031,OC Received,Anjani Buildconn ,Anjani Amores,Kondhwa Budruk,Pune South,No,21/11/2019,Sold Out
1032,P52100003552 (OC Received),A One Group,A One Shivai 2,Sadashiv Peth,Pune Center,No,21/11/2019,Sold Out
1033,"P52100019622,P52100001917",Sukhwani Associates Promoters and Builders,Sukhwani Pacific II,Thergaon,Pimpri Chinchwad,No,21/11/2019,Sold Out
1034,P52100012609,Prithvi Shaurya Nirmitee India Private Limited,Prithvi Shaurya Sky One,Nigdi,Pimpri Chinchwad,No,21/11/2019,Sold Out
1035,P52100018884,Regal Developers, Regal Lake Town,Punawale,Pune West,No,22/11/2019,Sold Out
1036,P52100009413(OC Received),Prayeja Realty,Prayeja Pearl,Nanded,Pune South,No,22/11/2019,Sold Out
1037,OC Received,Vainateya Build Pvt Ltd,Vainateya Vrindavan Srushti,Narhe,Pune South,No,22/11/2019,Sold Out
1038,Unique Prospero(OC Received),Unique Group,Unique Prospero,Dighi,Pimpri Chinchwad,No,22/11/2019,Sold Out
1039,P52100005190(OC Received),Sukhwani Agarwal Group,Sukhwani Agarwal Empire Square,Chinchwad,Pimpri Chinchwad,No,22/11/2019,Sold Out
1040,OC Received,Sai Anand Builders & Developers ,Sai Anand Basil Homes,Kondhwa Budruk,Pune South,No,22/11/2019,Sold Out
1041,P52100011611 (OC Received),Prayeja Realty,Prayeja Puram,Nanded,Pune South,No,25/11/2019,Active
1042,P52100021276,Arruj Group,Arruj Aashirwad Homes,Ravet,Pune West,No,25/11/2019,Sold Out
1043,P52100010668,Prayeja Realty,Prayeja City,Nanded,Pune South,No,25/11/2019,Sold Out
1044,"P52100009721, P52100004171 (OC Recived)",Saibaba Sales Pvt Ltd,Sai Exotique,Chikhali,Pimpri Chinchwad,No,25/11/2019,Sold Out
1045,P52100007792 (OC Received),Kamal Realty ,Kamal Glory,Kondhwa Budruk,Pune South,No,26/11/2019,Active
1046,P52100003171(OC Received),Mahesh Builders and Developers ,Mahesh Ellanza,Vadgaon Budruk,Pune South,No,26/11/2019,Sold Out
1047,P52100001470,"Pushpganga Ventures, Mohta Builders",Ganga Paritosh (B),Anand Nagar,Pune South,No,26/11/2019,Sold Out
1048,"P52100022784,P52100049940", Arun Sheth & Co," Arun Anika Piccadilly (Phase 1,Phase 2)",Punawale,Pune West,No,27/11/2019,Active
1049,"P52100016694, P52100023058",Swaraaj Realities,Swaraaj Paradise,Pimple Saudagar,Pimpri Chinchwad,No,27/11/2019,Sold Out
1050,P52100003849,Saarrthi Group ,Saarrthi Swadesh,Jambhul,Pimpri Chinchwad,No,27/11/2019,Sold Out
1051,"P52100003489,P52100009849,P52100007160,P52100007157,P52100007155 (OC Received)",Kumar Builders,Kumar Kul Utsav,Kondhwa,Pune South,No,27/11/2019,Sold Out
1052,P52100018793,Avior Enterprises & Soba Associate,Soba Optima 2,Anand Nagar,Pune South,No,28/11/2019,Active
1053,P52100002263(OC Received),Padmavati Group,Padmavati Girnar 108,Kondhwa Budruk,Pune South,No,28/11/2019,Sold Out
1054,P52100022448,Sable Sanjivani , Sable Sanjivani Sangameshwar (Phase A),Saswad,Pune South,No,28/11/2019,Sold Out
1055,OC Received,Rishi Construction,Rishi Mi Casa Bella,Wakad,Pune West,No,28/11/2019,Sold Out
1056,P52100019179,Kakkad Group,Kakkad Madhukosh,Balewadi,Pune West,No,29/11/2019,Sold Out
1057,P52100001269,"VTP Realty, Kakade Associates ",VTP Urban Life (Phase 1),Talegaon Dabhade,Pimpri Chinchwad,No,2/12/2019,Sold Out
1058,OC Received,Parmar Construction Co. & Lotus Developers & S3 Group,Parmar Rio Vista,Talegaon Dabhade,Pimpri Chinchwad,No,2/12/2019,Sold Out
1059,P52100019915,Galaxy Associates,Galaxy Aangan Phase II,Talegaon Dabhade,Pimpri Chinchwad,No,2/12/2019,Sold Out
1060,P52100016022,Chandranchal Properties,Chandranchal Shanti Krupa,Talegaon Dabhade,Pimpri Chinchwad,No,2/12/2019,Sold Out
1061,P52100004464(OC Received),Giriraj Associates,Giriraj Vrindavan,Chikhali,Pimpri Chinchwad,No,3/12/2019,Sold Out
1062,P52100013445,"Namo Builders & Developers, Parshwa Realty, Mahalaxmi Dreamhome Creations LLP",Namo Shine City,Chikhali,Pimpri Chinchwad,No,3/12/2019,Sold Out
1063,P52100017662,Mahalaxmi Ventures,Mahalaxmi Raga Aangan,Chikhali,Pimpri Chinchwad,No,3/12/2019,Sold Out
1064,P52100022986,Kakade Properties & BMK Propertied,Kakade Panoramaa,Talegaon Dabhade,Pimpri Chinchwad,No,3/12/2019,Active
1065,P52100015460,Shree Ganesh Developers,Shree Ganesh Aditya Vardhan Heights,Talegaon Dabhade,Pimpri Chinchwad,No,3/12/2019,Sold Out
1066,P52100004252,Shubh Ganesh Properties,Shubh Ganesh Nisarg Vatika,Vadgaon,Pimpri Chinchwad,No,3/12/2019,Sold Out
1067,P52100000316,VTP Realty ,Bhagyasthan (Phase 1),Talegaon Dabhade,Pimpri Chinchwad,No,4/12/2019,Inactive
1068,P52100009705,"Bhojwani Homes,SSd Group,Govind developers,Brownstone Group",Bhojwani The Westford,Pimple Saudagar,Pimpri Chinchwad,No,4/12/2019,Sold Out
1069,P52100000145 (OC Received),Tata Value Homes,Tata La Montana,Vadgaon,Pimpri Chinchwad,No,4/12/2019,Sold Out
1070,P52100017623,"Utsav Homes, Primespace Realty Group",Utsav Elite Evoq,Baner,Pune West,No,4/12/2019,Sold Out
1071,P52100006561,Sonigara Homes,Sonigara Blue Dice,Chikhali,Pimpri Chinchwad,No,5/12/2019,Sold Out
1072,P52100023129,Godrej Properties,Godrej Forest Grove,Mamurdi,Pimpri Chinchwad,No,5/12/2019,Active
1073,OC Received,Namrata Group,Namrata Slim Tower,Talegaon Dabhade,Pimpri Chinchwad,No,9/12/2019,Sold Out
1074,P52100018045(OC Received),"Namrata Group, RP Kalokhe & Brothers",Namrata Happycity ,Talegaon Dabhade (Varal),Pimpri Chinchwad,No,9/12/2019,Active
1075,P52100017513(OC Received),Namrata Group,Namrata Happycity,Talegoan Dabhade,Pimpri Chinchwad,No,9/12/2019,Active
1076,"P52100020202,P52100049352",Puraniks Builders,Puranik Abitante Fiore,Bavdhan,Pune West,No,9/12/2019,Active
1077,"P52100022242(OC Received), P52100028578(OC Received)",Namrata Group,Namrata Aikonic 2,Talegaon Dabhade,Pimpri Chinchwad,No,9/12/2019,Active
1078,"P52100019869 (OC Received), P52100022087",SB Patil Group,SB Ganesh Joynest,Chikhali,Pimpri Chinchwad,No,10/12/2019,Sold Out
1079,"P52100019225,P52100020022","SB Patil Group, Ganesh Associates ",Ganesh Emerald,Chikhali,Pimpri Chinchwad,No,10/12/2019,Sold Out
1080,"P52100017290,P52100006891",SB Patil Group,SB Patil Ganesh Siddhi,Chikhali,Pimpri Chinchwad,No,10/12/2019,Sold Out
1081,P52100001524,Keystone Lifespcaes,Keystone Altura,Tathawade,Pune West,No,10/12/2019,Sold Out
1082,P52100002447 (OC Received),Sonigara Homes,Sonigara Neelangan,Chikhali,Pimpri Chinchwad,No,11/12/2019,Sold Out
1083,P52100001626 (OC Received),Namrata Group,Namrata Weekender Birds View,Kamshet,Pimpri Chinchwad,No,11/12/2019,Sold Out
1084,P52100003942,Suyash Promotors & Developers,Suyash Greens,Somatane,Pimpri Chinchwad,No,13/12/2019,Sold Out
1085,"P52100001962,P52100014885,P52100014848 ","Kumar Properties,Beharay Rathi Group LLP",Kumar Hillview Residency,Kothrud,Pune Center,No,11/12/2019,Sold Out
1086,"P52100006401, P52100015968,",Gadgil Developers ,Gadgil Anant Srishti,Jambhul,Pimpri Chinchwad,No,12/12/2019,Sold Out
1087,P52100004246 (OC Recieved),MAS Creations,MAS Mahavirs Natura,Talegaon Dabhade,Pimpri Chinchwad,No,13/12/2019,Sold Out
1088,"P52100023051, P52100022957","Kumar Properties,ABIL Group",Kumar Megapolis Serenity,Hinjawadi,Pune West,No,13/12/2019,Sold Out
1089,P52100022932,"Vivanta Realty, Yashada Realty",Yashada Vantage 21,Pimple Saudagar,Pimpri Chinchwad,No,16/12/2019,Sold Out
1090,P52100007032,Uday Infra,Uday Keshav Vatika,Parandwadi,Pimpri Chinchwad,No,16/12/2019,Sold Out
1091,OC Received,Mont Vert Homes,Mont Vert One,Wakad,Pune West,No,16/12/2019,Sold Out
1092,"P52100002102, P52100020720 (OC Received)","Shree Dharmaraj Developers, Shree Sonigara Developers",Shree Dharmaraj Raajlaxmi Greens,Ravet,Pune West,No,16/12/2019,Sold Out
1093,P52100019278,Yashodhan Affordable Landmarks LLP,Dwarika Dham,Kondhwa Budruk,Pune South,No,16/12/2019,Inactive
1094,P52100004195(OC Recieved),Dabhade Agarwal Associates,Dabhade Nisarg,Talegaon Dabhade,Pimpri Chinchwad,No,16/12/2019,Sold Out
1095,P52100022655,Paranjape Schemes,Paranjape Forest Trails Everglades,Bavdhan,Pune West,No,16/12/2019,Sold Out
1096,"P52100019140, P52100000402",Lunkad Builders LLP,Lunkad Akash Towers,Pimple Nilakh,Pimpri Chinchwad,No,18/12/2019,Sold Out
1097,P52100017650,Puravankara Ltd,Puravankara Purva Aspire,Bavdhan,Pune West,No,18/12/2019,Active
1098,P52100022450(OC Received),Unique Group,Unique Legacy Grand,Keshav Nagar,Pune East,No,19/12/2019,Sold Out
1099,P52100022861(OC Received),Choice Group,Choice Goodwill Crescent,Keshav Nagar,Pune East,No,19/12/2019,Sold Out
1100,P52100022437,Unique Group,Unique Legacy Majestic,Keshav Nagar,Pune East,No,19/12/2019,Sold Out
1101,P52100015991(OC received),Nikhilesh Narayan Kokate And Others,Nikhilesh Padmaksh,Pashan,Pune West,No,19/12/2019,Sold Out
1102,"P52100008127(OC received),P52100002744(OC received) ,P52100019128","S K Buildcon ,Sonigara Homes",SK Om Paradise,Dehu road,Pimpri Chinchwad,No,20/12/2019,Active
1103,"P52100023186,P52100023451",Rohan Builders ,Rohan Anand,Talegaon Dabhade,Pimpri Chinchwad,No,20/12/2019,Active
1104,"P52100021130,P5210000750,P52100009291",Austin Realty,Austin Park NXT,Tathawade,Pune West,No,20/12/2019,Sold Out
1105,P52100001910,Mohar Ventures,Mohar Pratima,Talegaon Dabhade,Pimpri Chinchwad,No,20/12/2019,Active
1106,"P52100006336, P52100004516, P52100005522","SB Patil Group, Ganesh Construction",SB Gods County,Charholi Budruk,Pimpri Chinchwad,No,24/12/2019,Active
1107,"P52100005207 , P52100007315",SB Patil Group,SB Patil Urban Forest,Kamshet,Pimpri Chinchwad,No,24/12/2019,Sold Out
1108,P52100001337,Setpal Properties,Setpal Palazzo,Talegaon Dabhade,Pimpri Chinchwad,No,24/12/2019,Sold Out
1109,P52100020597,Shriji Buildcorp,Shriji Silver Leaf,Talegaon Dabhade,Pimpri Chinchwad,No,27/12/2019,Sold Out
1110,P52100000758(OC received),Goyal Properties,Goyal My Home Talegaon,Talegaon Dabhade,Pimpri Chinchwad,No,27/12/2019,Sold Out
1111,P52100008042,Paradise Maker,Paradise Homes,Talegaon Dabhade,Pimpri Chinchwad,No,27/12/2019,Sold Out
1112,OC Received,Rainbow Housing,Rainbow Sahwas,Vadgaon,Pimpri Chinchwad,No,27/12/2019,Sold Out
1113,"P52100014637, P52100021533 , P52100000230","Lunkad Gruhnirman Company , R.K. Lunkad Builders & Promoters ",Lunkad Gruhnirman Amrutdhara,Charholi Budruk,Pimpri Chinchwad,No,30/12/2019,Sold Out
1114,"P52100021887,P52100001713","Nirman Group, AT Properties",Sanctuary,Chinchwad,Pimpri Chinchwad,No,30/12/2019,Inactive
1115,"P52100020392,P52100000334", R.K. Lunkad Builders & Promoters ,RK Lunkad Alankapuram,Charholi Budruk,Pimpri Chinchwad,No,30/12/2019,Sold Out
1116,"P52100000126,P52100016128","Lunkad Gruhnirman Company , K Lunkad Housing Corporation",Lunkad Anand Tarang,Charholi Budruk,Pimpri Chinchwad,No,30/12/2019,Sold Out
1117,P52100018311,Raskar Realtors,Raskar Green Square,Moshi,Pimpri Chinchwad,No,30/12/2019,Sold Out
1118,"P52100007967,P52100019750",Yogesh Enterprise ,Yogesh Gandharva Excellencee,Moshi,Pimpri Chinchwad,No,30/12/2019,Sold Out
1119,P52100023153,Garve Developers,Garve Akshara Platinum,Wakad,Pune West,No,31/12/2019,Sold Out
1120,"P52100021151, P52100031397",Tulip Properties & Tajane Bros,Tulip Infinity World,Punawale,Pune West,No,31/12/2019,Active
1121,P52100023453,Mantra properties,Mantra Kingdom,Balewadi,Pune West,No,31/12/2019,Sold Out
1122,P52100015606,"Bhandari Associates, Indus Properties",Bhandari Swaraj,Moshi,Pimpri Chinchwad,No,31/12/2019,Sold Out
1123,"P52100020731 , P52100006131",Nisarg Ventures,Nisarg Vatika,Moshi,Pimpri Chinchwad,No,31/12/2019,Sold Out
1124,P52100021632,Millennium Developers,Millennium Manor,Chikhali,Pimpri Chinchwad,No,1/1/2020,Sold Out
1125,"P52100007333, P52100025986 (OC Received)","Shree Ventures,Aasara Properties, Golden Abodes",Shree The Legend,Hinjawadi,Pune West,No,1/1/2020,Sold Out
1126,P52100004310,Great Value Homes & Kool Homes ,Kool Blue Lotus,Ghorpadi,Pune East,No,1/1/2020,Sold Out
1127,P52100004715 (OC Received),Arya Nisarga Properties,Nisarga Sparsh,Vadgaon,Pimpri Chinchwad,No,1/1/2020,Sold Out
1128,P52100017803,G B Developers ,GB Paramount,Moshi,Pimpri Chinchwad,No,1/1/2020,Sold Out
1129,P52100020486,Shivteerth Properties,Shivteerth Legacy,Alandi,Pimpri Chinchwad,No,2/1/2020,Active
1130,P52100021686,Arise Group, Arise Canary,Alandi,Pimpri Chinchwad,No,2/1/2020,Sold Out
1131,P52100009433 (OC Received),Aksha Group,Aksha Vasant Park,Alandi,Pimpri Chinchwad,No,2/1/2020,Sold Out
1132,"P52100019928,P52100027638",Kakkad Group,Kakkad La Vida,Balewadi,Pune West,No,2/1/2020,Active
1133,P52100010488,Savali Promoters,Savali Heights,Chikhali,Pimpri Chinchwad,No,3/1/2020,Sold Out
1134,"P52100020952,P52100000180",Parshwa Properties ,Parshwa Gold County,Charholi Budruk,Pimpri Chinchwad,No,3/1/2020,Sold Out
1135,P52100021789,Royal Space Builder & Developers,Royal Galaxy,Charholi Budruk,Pimpri Chinchwad,No,3/1/2021,Sold Out
1136,OC Received,"Guru Construction,Eklavya Builders Private Limited,Avishkar Shelter Pune, Pvt Ltd,urban Group",Eklavya Ekaika ,Kharadi,Pune East,No,3/1/2020,Sold Out
1137,"P52100013807, P52100002725",Shubh Ganesh Properties,Shubh Spring Valley,Bhosari,Pimpri Chinchwad,No,3/1/2020,Sold Out
1138,P52100021678,Raahee Group ,Raahee Samruddhi ,Alandi,Pimpri Chinchwad,No,3/1/2020,Sold Out
1139,P52100016702, SM Realty , Eva Homes,Chikhali,Pimpri Chinchwad,No,6/1/2020,Inactive
1140,P52100020376,Siddhivinayak Developers,Siddhivinayak Shubh Aarambh,Charholi Budruk,Pimpri Chinchwad,No,6/1/2020,Active
1141,P52100006496(OC Received),RKH Developers ,RKH Blessings,Moshi,Pimpri Chinchwad,Yes,6/1/2020,Sold Out
1142,"P52100020097, P52100022264,P52100027744","Nexus Group, Diamond Group",Nexus Gulmohar ,Charholi Budruk,Pimpri Chinchwad,No,6/1/2020,Sold Out
1143,OC Received,"Prime Properties, Mavens Properties",Prime Swapnapurti,Handewadi,Pune South,No,6/1/2020,Sold Out
